OrganizationName;FriendlyName;Thumbprint;SHA-256 Thumbprint;Status;Last Modified on Release Date;
Certipost s.a./n.v.;Certipost E-Trust Primary TOP Root CA;0560A2C738FF98D1172A94FE45FB8A47D665371E;DDFF53ECD7743B60BB7B2795FF5732FA785F9A14DF1120FB40A38CF84CA2A566;NotBefore;07.03.2017;
certSIGN;certSIGN ROOT CA G2;26F993B4ED3D2827B0B94BA7E9151DA38D92E532;657CFE2FA73FAA38462571F332A2363A46FCE7020951710702CDFBB6EEDA3305;Active;30.01.2018;
certSIGN;certSIGN Root CA;FAB7EE36972662FB2DB02AF6BF03FDE87C4B2F9B;EAA962C4FA4A6BAFEBE415196D351CCD888D4F53F3FA8AE6D7C466A94E6042BB;Active;;
China Financial Certification Authority (CFCA);CFCA EV ROOT;E2B8294B5584AB6B58C290466CAC3FB8398F8483;5CC3D78E4E1D5E45547A04E6873E64F90CF9536D1CCC2EF800F355C4C5FD70FD;Active;;
China Financial Certification Authority (CFCA);CFCA Identity CA;F02B70BDE4EAE02B207377B9FD4785E4C9CC55DC;FFB85C26308A961351249EA641F659D49F639E91DAED9C92D046CCDCECC93D2F;Active;;
China Financial Certification Authority (CFCA);China Financial CA;EABDA240440ABBD694930A01D09764C6C2D77966;0771920C8CB874D5C5A4DC0D6A51A2D495D38C4DE2CD5B83D2A06FAA051935F6;Active;;
China Internet Network Information Center (CNNIC);China Internet Network Information Center EV Certificates Root;4F99AA93FB2BD13726A1994ACE7FF005F2935D1E;1C01C6F4DBB2FEFC22558B2BCA32563F49844ACFC32B7BE4B0FF599F9E8C7AF7;Active;;
China Internet Network Information Center (CNNIC);CNNIC Root;8BAF4C9B1DF02A92F7DA128EB91BACF498604B6F;E28393773DA845A679F2080CC7FB44A3B7A1C3792CB7EB7729FDCB6A8D99AEA7;Active;;
Chunghwa Telecom;Chunghwa Telecom Co. Ltd.;67650DF17E8E7E5B8240A4F4564BCFE23D69C6F0;C0A6F4DC63A24BFDCF54EF2A6A082A0A72DE35803E2FF5FF527AE5D87206DFD5;Active;;
Chunghwa Telecom;ePKI Root Certification Authority - G2;D99B104298594763F0B9A927B79269CB47DD158B;1E51942B84FD467BF77D1C89DA241C04254DC8F3EF4C22451FE7A89978BDCD4F;Active;;
Chunghwa Telecom;ePKI Root Certification Authority - G2;81AC5DE150D1B8DE5D3E0E266A136B737862D322;BEBCE57DCB85F60A93BFA5019EDB1A294BF6D81F82D9B4E71F502F0B15A1FC08;Active;;
Cisco;Cisco Systems;DE990CED99E0431F60EDC3937E7CD5BF0ED9E5FA;8327BC8C9D69947B3DE3C27511537267F59C21B9FA7B613FAFBCCD53B7024000;Active;;
Cisco;RXC-R2;2C8AFFCE966430BA04C04F81DD4B49C71B5B81A0;229CCC196D32C98421CC119E78486EEBEF603AECD525C6B88B47ABB740692B96;Active;;
Collegio de Registradores Mercantile (Spanish Property & Commerce Registry);Colegio de Registradores Mercantiles;211165CA379FBB5ED801E31C430A62AAC109BCB4;7D2BF3489EBC9AD3448B8B0827715A3CBFE3D523E3B56A9B5FC1D2A2DA2F20FE;Active;;
Comodo;COMODO;9F744E9F2B4DBAEC0F312C50B6563B8E2D93C311;1793927A0614549789ADCE2F8F34F7F0B66D0F3AE3A3B84D21EC15DBBA4FADC7;Active;;
Comodo;COMODO CA;D1EB23A46D17D68FD92564C2F1F1601764D8E349;D7A7A0FB5D7E2731D771E9484EBCDEF71D5F0C3E0A2948782BC83EE0EA699EF4;Active;;
Comodo;COMODO Certification Authority;EE869387FFFD8349AB5AD14322588789A457B012;1A0D20445DE5BA1862D19EF880858CBCE50102B36E8F0A040C3C69E74522FE6E;Active;;
Comodo;COMODO SECURE™;AFE5D244A8D1194230FF479FE2F897BBCD7A8CB4;52F0E1C4E58EC629291B60317F074671B85D7EA80D5B07273463534B32B40234;Active;;
Comodo;The USERTrust Network™;02FAF3E291435468607857694DF5E45B68851868;687FA451382278FFF0C8B11F8D43D576671C6EB2BCEAB413FB83D965D06D2FF2;Active;;
Comodo;USERTrust;D1CBCA5DB2D52A7F693B674DE5F05A1D0C957DF0;4FF460D54B9C86DABFBCFC5712E0400D2BED3FBC4D4FBDAA86E06ADCD2A9AD7A;Active;;
Comodo;USERTrust (Client Authentication / Secure Email);B172B1A56D95F91FE50287E14D37EA6A4463768A;43F257412D440D627476974F877DA8F1FC2444565A367AE60EDDC27A412531AE;Active;;
Comodo;USERTrust (Code Signing);E12DFB4B41D7D9C32B30514BAC1D81D8385E2D46;6FFF78E400A70C11011CD85977C459FB5AF96A3DF0540820D0F4B8607875E58F;Active;;
Comodo;USERTrust CA;0483ED3399AC3608058722EDBC5E4600E3BEF9D7;6EA54741D004667EED1B4816634AA3A79E6E4B96950F8279DAFC8D9BD8812137;NotBefore;30.10.2018;
Comodo;USERTrust Secure™;2B8F1B57330DBBA2D07A6C51F70EE90DDAB9AD8E;E793C9B02FD8AA13E21C31228ACCB08119643B749C898964B1746D46C3D4CBD2;Active;;
ComSign;ComSign Advanced Security CA;80BF3DE9A41D768D194B293C85632CDBC8EA8CF7;3CCC3CCFE45496D07B620DBF1328E8A1490018F48633C8A28A995CA60408B0BE;NotBefore;26.09.2017;
ComSign;ComSign CA;E1A45B141A21DA1A79F41A42A961D669CD0634C1;AE4457B40D9EDA96677B0D3C92D57B5177ABD7AC1037958356D1E094518BE5F2;NotBefore;31.07.2018;
ComSign;ComSign Secured CA;F9CD0E2CDA7624C18FBDF0F0ABB645B8F7FED57A;507941C74460A0B47086220D4E9932572AB5D1B5BBCB8980AB1CB17651A844D2;NotBefore;31.07.2018;
ComSign;ComSign Global Root CA;AE3B31BF8FD891079CF1DF34CBCE6E70D37FB5B0;2605875AFCC176B2D66DD66A995D7F8D5EBB86CE120D0E7E9E7C6EF294A27D4C;Active;;
Consorci Administració Oberta de Catalunya (Consorci AOC, CATCert);Agencia Catalana de Certificacio (NIF Q-0801176-I);28903A635B5280FAE6774C0B6DA7D6BAA64AF2E8;88497F01602F3154246AE28C4D5AEF10F1D87EBB76626F4AE0B7F95BA7968799;Active;;
Cybertrust Japan / JCSI;Japan Certification Services, Inc. SecureSign RootCA1;CABB51672400588E6419F1D40878D0403AA20264;5F960EEBD716DBCB4D8A78B996E680EC2547441E69B4E44E98A595502E28A002;NotBefore;07.03.2017;
Cybertrust Japan / JCSI;Japan Certification Services, Inc. SecureSign RootCA2;00EA522C8A9C06AA3ECCE0B4FA6CDC21D92E8099;AF6D08EEF3CAC4E1584ABC63C8A9472AC529AF99F3F791319A43776063F58DCA;NotBefore;07.03.2017;
Cybertrust Japan / JCSI;Japan Certification Services, Inc. SecureSign RootCA3;8EB03FC3CF7BB292866268B751223DB5103405CB;AE92E90000541A9EBC101B70B6C33A62F5A53A55BA815E81D31ABDDF03507F5D;NotBefore;07.03.2017;
Cybertrust Japan / JCSI;"""Japan Certification Services, Inc. SecureSign RootCA11""";3BC49F48F8F373A09C1EBDF85BB1C365C7D811B3;BF0FEEFB9E3A581AD5F9E9DB7589985743D261085C4D314F6F5D7259AA421612;Active;;
DATEV eG;CA DATEV BT 01;DA8B6567EF3F6E1EA26AB146E36CCB5728041846;1E910B40C08184C0CA20468E824502FF2485163F77B03BB73296823F03885621;Disable;24.04.2018;
DATEV eG;CA DATEV INT 01;52412BD67B5A6C695282386026F0B053DD400EFC;EFB5157E9C66CAA1DCC63C9FAC0127CDE83B7A426C4579B7B43A41BA46A56DEB;Disable;24.04.2018;
DATEV eG;CA DATEV STD 01;150332A58DC591FC42D4C873FF9F1F0F81D597C9;1BA622B36325544AE922AFC22EF9D367943794F6E16874F368A733C65C9D5279;Disable;24.04.2018;
DATEV eG;CA DATEV BT 02;39410BC2303748066069A72A664DE4C743481296;81C2568503EB3BE5EEC366653960E6D1BE9448915E4605B793FBEB34CCB2470F;Active;;
DATEV eG;CA DATEV BT 03;3DB66DFEBEB6712889E7C098B32805896B6218CC;0C0B6B2BD1EDD7B27FEAD157F8E846B335B784A39F06C47216C8746F64C5CEDA;Active;;
DATEV eG;CA DATEV INT 02;93F7F48B1261943F6A78210C52E626DFBFBBE260;997E15C5A4481A8598499753971EE2601D1047C3635AFF21AF4221A817FD2D96;Active;;
DATEV eG;CA DATEV INT 03;924AEA47F73CB690565E552CFCC6E8D63EEE4242;8BA1BD9C88EFB3947E60EBE21137F81DF7F09994CEF27F097055018B8194C634;Active;;
DATEV eG;CA DATEV STD 02;AB9D58C03F54B1DAE3F7C2D4C6C1EC3694559C37;05D38C2A70BFC500CCB0CB509159B46B065C6AC9CB42D2E6F16167841434572A;Active;;
DATEV eG;CA DATEV STD 03;27EED22AFD58A2C64A855E3680AF898BF36CE503;54AE8A683FE2D78FF1EF0E0B3F58425092953BA08C67FE4A95595D1CEBCDCB30;Active;;
Default Organization;Netrust Root CA 2;0AB5C3CD7448B86D711E77A549838B87CE525F7F;65353833CF234C79562164F90849C0D104DBABF8EE41064D83E8CBE03BA1C5A5;Active;;
Deutscher Sparkassen Verlag GmbH (S-TRUST, DSV-Gruppe);S-TRUST Authentication and Encryption Root CA 2005:PN;BEB5A995746B9EDF738B56E6DF437A77BE106B81;37D8DC8AF7867845DA3344A6B1BADE448D8A80E47B5579F96BF631768F9F30F6;NotBefore;26.09.2017;
Deutscher Sparkassen Verlag GmbH (S-TRUST, DSV-Gruppe);S-Trust Universal Root CA;1B3D1114EA7A0F9558544195BF6B2582AB40CE9A;D80FEF910AE3F104723B045CEC2D019F441CE6213ADF156791E70C1790110A31;NotBefore;30.10.2018;
Deutscher Sparkassen Verlag GmbH (S-TRUST, DSV-Gruppe);TC TrustCenter Class 3 CA II;8025EFF46E70C8D472246584FE403B8A8D6ADBF5;8DA084FCF99CE07722F89B3205939806FA5CB811E1C813F6A108C7D336B3408E;NotBefore;30.10.2018;
Dhimyotis / Certigna;Certigna;B12E13634586A46F1AB2606837582DC4ACFD9497;E3B6A2DB2ED7CE48842F7AC53241C7B71D54144BFB40C11F3F1D0B42F5EEA12D;Active;;
Dhimyotis / Certigna;Certigna Root CA;2D0D5214FF9EAD9924017420476E6C852727F543;D48D3D23EEDB50A459E55197601C27774B9D7B18C94D5A059511A10250B93168;Active;;
DigiCert;Equifax Secure Global eBusiness CA-1;7E784A101C8265CC2DE1F16D47B440CAD90A1945;5F0B62EAB5E353EA6521651658FBB65359F443280A4AFBD104D77D10F9F04C07;Disable;26.04.2016;
DigiCert;DigiCert Global Root;97817950D81C9670CC34D809CF794431367EF474;A53125188D2110AA964B02C7B7C6DA3203170894E5FB71FFFB6667D5E6810A36;NotBefore;07.03.2017;
DigiCert;GeoTrust Global CA 2;A9E9780814375888F20519B06D2B0D2B6016907D;CA2D82A08677072F8AB6764FF035676CFE3E5E325E012172DF3F92096DB79B85;NotBefore;26.09.2017;
DigiCert;DigiCert Baltimore Root;D4DE20D05E66FC53FE1A50882C78DB2852CAE474;16AF57A9F676B0AB126095AA5EBADEF22AB31119D644AC95CD4B93DBF3F26AEB;Active;26.06.2018;
DigiCert;Symantec Class 3 Public Primary Certification Authority - G6;26A16C235A2472229B23628025BC8097C88524A1;B32396746453442F353E616292BB20BBAA5D23B546450FDB9C54B8386167D529;Active;02.10.2018;
DigiCert;Cybertrust Global Root;5F43E5B1BFF8788CAC1CC7CA4A9AC6222BCC34C6;960ADF0063E96356750C2965DD0A0867DA0B9CBD6E77714AEAFB2349AB393DA3;Active;;
DigiCert;DigiCert;0563B8630D62D75ABBC8AB1E4BDFB5A899B24D43;3E9099B5015E8F486C00BCEA9D111EE721FABA355A89BCF1DF69561E3DC6325C;Active;;
DigiCert;DigiCert;A8985D3A65E5E5C4B2D7D66D40C6DD2FB19C5436;4348A0E9444C78CB265E058D5E8944B4D84F9662BD26DB257F8934A443C70161;Active;;
DigiCert;DigiCert;5FB7EE0633E259DBAD0C4C9AE6D38F1A61C7DC25;7431E5F4C3C1CE4690774F0B61E05440883BA9A01ED00BA6ABD7806ED3B118CF;Active;;
DigiCert;DigiCert Assured ID Root G2;A14B48D943EE0A0E40904F3CE0A4C09193515D3F;7D05EBB682339F8C9451EE094EEBFEFA7953A114EDB2F44949452FAB7D2FC185;Active;;
DigiCert;DigiCert Assured ID Root G3;F517A24F9A48C6C9F8A200269FDC0F482CAB3089;7E37CB8B4C47090CAB36551BA6F45DB840680FBA166A952DB100717F43053FC2;Active;;
DigiCert;DigiCert Global Root CA;912198EEF23DCAC40939312FEE97DD560BAE49B1;68AD50909B04363C605EF13581A939FF2C96372E3F12325B0A6861E1D59F6603;Active;;
DigiCert;DigiCert Global Root G2;DF3C24F9BFD666761B268073FE06D1CC8D4F82A4;CB3CCBB76031E5E0138F8DD39A23F9DE47FFC35E43C1144CEA27D46A5AB1CB5F;Active;;
DigiCert;DigiCert Global Root G3;7E04DE896A3E666D00E687D33FFAD93BE83D349E;31AD6648F8104138C738F39EA4320133393E3A18CC02296EF97C2AC9EF6731D0;Active;;
DigiCert;DigiCert Trusted Root G4;DDFB16CD4931C973A2037D3FC83A4D7D775D05E4;552F7BDCF1A7AF9E6CE672017F4F12ABF77240C78E761AC203D1D9D20AC89988;Active;;
DigiCert;Hotspot 2.0 Trust Root CA - 03;51501FBFCE69189D609CFAF140C576755DCC1FDF;A3CC68595DFE7E86D8AD1772A8B5284ADD54ACE3B8A798DF47BCCAFB1FDB84DF;Active;;
DigiCert;Symantec Class 1 Public Primary Certification Authority - G4;84F2E3DD83133EA91D19527F02D729BFC15FE667;363F3C849EAB03B0A2A0F636D7B86D04D3AC7FCFE26A0A9121AB9795F6E176DF;Active;;
DigiCert;Symantec Class 1 Public Primary Certification Authority - G6;517F611E29916B5382FB72E744D98DC3CC536D64;9D190B2E314566685BE8A889E27AA8C7D7AE1D8AADDBA3C1ECF9D24863CD34B9;Active;;
DigiCert;Symantec Class 2 Public Primary Certification Authority - G4;6724902E4801B02296401046B4B1672CA975FD2B;FE863D0822FE7A2353FA484D5924E875656D3DC9FB58771F6F616F9D571BC592;Active;;
DigiCert;Symantec Class 2 Public Primary Certification Authority - G6;40B331A0E9BFE855BC3993CA704F4EC251D41D8F;CB627D18B58AD56DDE331A30456BC65C601A4E9B18DEDCEA08E7DAAA07815FF0;Active;;
DigiCert;Symantec Class 3 Public Primary Certification Authority - G4;58D52DB93301A4FD291A8C9645A08FEE7F529282;53DFDFA4E297FCFE07594E8C62D5B8AB06B32C7549F38A163094FD6429D5DA43;Active;;
DigiCert;Symantec Enterprise Mobile Root for Microsoft;92B46C76E13054E104F230517E6E504D43AB10B5;8A5E4881D42F7475E8EC3726FCD5E51884AA04DAA9FA7ADAC8CD26452CF885D4;Active;;
